Ville,Brest,Quimper,Lorient,Vannes,Saint-Brieuc,Rennes,Saint-Malo,Lannion,Fougères,Vitré,Morlaix,Concarneau,Dinan,Pontivy,Redon,Douarnenez,Lanester,Ploemeur,Hennebont,Plérin,Guingamp,Plougastel,Guipavas,Landerneau,Dinard,Bruz
Brest,0,70,115,170,145,240,230,95,290,280,60,95,200,145,215,70,115,120,120,145,115,10,10,20,225,245
Quimper,70,0,70,120,135,215,220,110,265,255,80,25,195,95,165,25,65,75,70,135,110,60,70,70,215,215
Lorient,115,70,0,60,125,150,185,145,205,190,110,45,155,55,95,90,5,5,10,125,110,110,115,115,185,145
Vannes,170,120,60,0,115,115,150,165,165,155,155,95,125,55,50,140,55,65,50,115,115,160,170,165,145,105
Saint-Brieuc,145,135,125,115,0,100,85,65,150,140,85,135,60,65,125,155,120,130,120,5,30,135,140,130,80,105
Rennes,240,215,150,115,100,0,70,165,50,40,180,195,55,110,65,240,150,155,145,100,130,235,240,225,70,15
Saint-Malo,230,220,185,150,85,70,0,145,80,100,170,205,30,135,120,245,180,190,175,85,115,220,230,215,10,80
Lannion,95,110,145,165,65,165,145,0,215,205,40,125,120,105,185,135,140,150,135,65,35,90,95,85,140,170
Fougères,290,265,205,165,150,50,80,215,0,30,230,245,85,160,115,290,200,210,195,150,180,285,290,275,85,65
Vitré,280,255,190,155,140,40,100,205,30,0,220,235,95,150,105,280,185,195,180,140,170,270,280,265,100,55
Morlaix,60,80,110,155,85,180,170,40,230,220,0,95,145,105,185,105,105,115,100,85,55,55,60,45,165,190
Concarneau,95,25,45,95,135,195,205,125,245,235,95,0,185,85,145,50,40,50,45,135,115,85,95,85,200,190
Dinan,200,195,155,125,60,55,30,120,85,95,145,185,0,105,100,220,150,160,145,60,90,195,200,190,25,65
Pontivy,145,95,55,55,65,110,135,105,160,150,105,85,105,0,80,115,55,60,50,65,75,135,145,130,130,115
Redon,215,165,95,50,125,65,120,185,115,105,185,145,100,80,0,190,90,100,85,125,140,205,215,200,115,55
Douarnenez,70,25,90,140,155,240,245,135,290,280,105,50,220,115,190,0,85,95,90,155,135,60,70,70,240,235
Lanester,115,65,5,55,120,150,180,140,200,185,105,40,150,55,90,85,0,10,5,120,105,105,115,110,180,140
Ploemeur,120,75,5,65,130,155,190,150,210,195,115,50,160,60,100,95,10,0,15,130,115,115,120,120,190,150
Hennebont,120,70,10,50,120,145,175,135,195,180,100,45,145,50,85,90,5,15,0,120,100,110,120,115,175,135
Plérin,145,135,125,115,5,100,85,65,150,140,85,135,60,65,125,155,120,130,120,0,30,135,140,130,80,105
Guingamp,115,110,110,115,30,130,115,35,180,170,55,115,90,75,140,135,105,115,100,30,0,110,115,105,110,135
Plougastel,10,60,110,160,135,235,220,90,285,270,55,85,195,135,205,60,105,115,110,135,110,0,10,15,220,240
Guipavas,10,70,115,170,140,240,230,95,290,280,60,95,200,145,215,70,115,120,120,140,115,10,0,10,225,245
Landerneau,20,70,115,165,130,225,215,85,275,265,45,85,190,130,200,70,110,120,115,130,105,15,10,0,210,230
Dinard,225,215,185,145,80,70,10,140,85,100,165,200,25,130,115,240,180,190,175,80,110,220,225,210,0,80
Bruz,245,215,145,105,105,15,80,170,65,55,190,190,65,115,55,235,140,150,135,105,135,240,245,230,80,0
